Team,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,Avg Summer,Avg Winter
South Korea,379,45,417,79,359,87,344,85,329,84,312,130,263,343.2857143,85
Mauritania,6,0,4,0,2,0,2,0,2,0,2,0,2,2.857142857,0
Peru,21,0,33,0,22,0,14,0,13,5,16,5,34,21.85714286,1.666666667
Bermuda,30,1,10,1,7,1,10,1,6,1,8,1,8,11.28571429,1
Serbia and Montenegro,0,0,79,2,125,8,96,11,0,0,0,0,0,42.85714286,3.5
Saint Vincent and the Grenadines,8,0,12,0,4,0,3,0,2,0,3,0,4,5.142857143,0
Cyprus,30,1,24,1,24,2,21,2,18,4,13,2,21,21.57142857,2
Papua New Guinea,19,0,17,0,5,0,6,0,9,0,8,0,8,10.28571429,0
Yemen,8,0,4,0,2,0,3,0,8,0,4,0,3,4.571428571,0
Individual Olympic Athletes,76,0,0,0,4,0,0,0,0,0,4,1,9,13.28571429,0.166666667
Oman,5,0,5,0,8,0,2,0,4,0,3,0,4,4.428571429,0
Fiji,36,1,21,0,9,2,9,0,6,0,9,0,53,20.42857143,0.5
Vanuatu,8,0,4,0,3,0,2,0,3,0,5,0,4,4.142857143,0
Jamaica,59,6,69,6,65,2,62,0,66,1,62,2,77,65.71428571,2.833333333
Moldova,0,4,50,4,35,9,33,10,30,11,20,5,23,27.28571429,7.166666667
Guatemala,41,0,28,0,18,0,19,0,13,0,24,0,25,24,0
Israel,44,1,38,3,58,7,46,6,60,4,56,6,59,51.57142857,4.5
Serbia,0,0,0,0,0,0,0,0,97,15,134,17,127,51.14285714,5.333333333
Monaco,12,7,4,6,4,7,3,10,5,6,6,11,8,6,7.833333333
British Virgin Islands,4,0,11,0,1,0,1,0,2,0,2,1,4,3.571428571,0.166666667
Iceland,46,14,15,12,29,12,34,12,31,7,36,11,14,29.28571429,11.33333333
Costa Rica,26,0,13,0,9,2,21,1,8,0,11,0,12,14.28571429,0.5
Central African Rep.,21,0,5,0,3,0,4,0,3,0,6,0,6,6.857142857,0
Madagascar,17,0,14,0,13,0,8,2,6,0,7,0,6,10.14285714,0.333333333
Bosnia and Herzegovina,13,12,12,12,11,4,11,9,7,10,8,14,11,10.42857143,10.16666667
